CLK_NS,power_mw,dyn_mw,leak_mw,N,K,GF_WIDTH,wns_ns,freq_hz,freq_mhz,energy_pj_per_bit
3.0,2.3697304,2.360929,0.0088014,544,514,10,2.194577393,333333333.3333333,333.3333333333333,0.75241245385214
2.8,2.5383684,2.529567,0.0088014,544,514,10,1.994577393,357142857.14285713,357.1428571428571,0.7522262153463034
2.6,2.7329504,2.724149,0.0088014,544,514,10,1.794577393,384615384.6153846,384.6153846153846,0.7520398921712061
2.4,2.9435928,2.934789,0.0088038,544,514,10,1.594577393,416666666.6666667,416.6666666666667,0.7476954785369648
2.2,3.2532951999999997,3.244496,0.0087992,544,514,10,1.394577393,454545454.5454545,454.5454545454545,0.7574987734163424
2.0,3.6049569,3.596159,0.0087979,544,514,10,1.198722656,499999999.99999994,499.99999999999994,0.7630725889494163
1.8,4.0412663,4.03247,0.0087963,544,514,10,0.994577332,555555555.5555555,555.5555555555554,0.769884817307393
1.6,4.5546579,4.545862,0.008795899999999999,544,514,10,0.7945773319999999,624999999.9999999,624.9999999999999,0.7712790342723734
1.55,4.6919661999999995,4.683171,0.0087952,544,514,10,0.744577332,645161290.3225806,645.1612903225806,0.769701536933852
1.5,6.1250686000000005,6.115268,0.0098006,544,514,10,0.463745,666666666.6666666,666.6666666666666,0.9723844314396888
1.45,6.3229918000000005,6.313193,0.0097988,544,514,10,0.580566,689655172.4137931,689.6551724137931,0.9703455120311284
1.4,6.5529171999999996,6.543118,0.009799200000000001,544,514,10,0.434204,714285714.2857143,714.2857142857142,0.9709536458210114
1.2,7.2564553,7.246696,0.0097593,544,514,10,0.242554,833333333.3333334,833.3333333333334,0.9215980583346303
1.0,8.7054683,8.695677,0.0097913,544,514,10,0.121643,999999999.9999999,999.9999999999999,0.9213569562645914
0.8,10.8971331,10.887283,0.009850099999999999,544,514,10,0.433838,1249999999.9999998,1249.9999999999998,0.9226522033307393
0.6,14.4857599,14.47576,0.0099999,544,514,10,-127.617126,1666666666.6666667,1666.6666666666667,0.9198739360622566
0.4,21.1107595,21.100643,0.0101165,544,514,10,-318.578796,2499999999.9999995,2499.9999999999995,0.8937161998443579
