CLK_NS,power_mw,dyn_mw,leak_mw,N,K,GF_WIDTH,wns_ns,freq_hz,freq_mhz,energy_pj_per_bit
10.0,10.194241,7.358441,2.8358,544,514,10,8.131938,100000000.0,100.0,10.78923561089494
8.0,12.033850000000001,9.19805,2.8358,544,514,10,6.131938,124999999.99999999,124.99999999999999,10.188971828793775
6.0,15.099868999999998,12.264069,2.8358,544,514,10,4.131938,166666666.66666666,166.66666666666666,9.588710586770427
5.0,19.918206,16.703806,3.2144,544,514,10,1.519649,200000000.0,200.0,10.54037360311284
4.0,21.231733,18.395933,2.8358,544,514,10,2.131938,249999999.99999997,249.99999999999997,8.988375682490272
3.5,27.450038999999997,24.219139,3.2309,544,514,10,0.211932,285714285.7142857,285.71428571428567,10.168263473929958
3.0,31.474976,28.243576,3.2314,544,514,10,0.073881,333333333.3333333,333.3333333333333,9.993611056809339
2.8,33.591608,30.356308,3.2353,544,514,10,0.004149,357142857.14285713,357.1428571428571,9.954618152840466
2.6,35.829741,32.595741,3.234,544,514,10,0.000853,384615384.6153846,384.6153846153846,9.859452465058366
2.4,37.155009,33.948509,3.2065,544,514,10,0.000838,416666666.6666667,416.6666666666667,9.43766143003891
2.2,40.488969,37.284969,3.204,544,514,10,4.9e-05,454545454.5454545,454.5454545454545,9.427470447315175
2.0,44.254849,41.044449,3.2104,544,514,10,-0.021874,499999999.99999994,499.99999999999994,9.367563368093384
1.8,48.265667,45.045467,3.2202,544,514,10,-0.19136,555555555.5555555,555.5555555555554,9.194891269727625
1.6,54.024753,50.802353,3.2224,544,514,10,-0.424017,624999999.9999999,624.9999999999999,9.148471792062256
1.4,60.724609,57.492409,3.2322,544,514,10,-0.548093,714285714.2857143,714.2857142857142,8.99763856311284
