Name,Process_nm,Reach_mm,Gbps_per_mm,Link_pJ_per_bit,BER,Chosen_FEC_dataset,Base_node_nm,Target_model_node_nm,FEC_code_rate,FEC_energy_pJ_source,FEC_energy_pJ_scaled,FoM_raw,FoM_fec_unscaled,FoM_fec_scaled,Energy_factor_base,Energy_factor_target,Energy_scaling_source
Lightmatter L200,45,1000000.0,1500,2.6,1e-09,NanGate45,45,45,0.9846153846153848,0.3448000751651052,0.3448000751651052,576.9230769230769,494.7111515908327,494.7111515908327,1.0439100000000003,1.0439100000000003,Polynomial_45nm
Columbia,28,20000.0,2000,0.4324,4e-10,NanGate45,45,32,0.9846153846153848,0.3447564226311316,0.17710714154743235,4625.346901017576,2512.0537503510764,3195.4368801399146,1.0439100000000003,0.53627403,Polynomial_32nm
SuperCHIPS,16,0.5,1200,0.028,1e-14,ASAP7,7,16,0.992248062015504,0.0489506499630253,0.1065680470291464,42857.142857142855,15429.660914677474,8833.93404000191,0.06535800000000003,0.14228767999999997,Polynomial_16nm
UCIe 64G,3,5.0,21000,0.5,1e-15,ASAP7,7,3,0.992248062015504,0.0489506499084119,0.02398581845512183,42000.0,37690.059228305814,39472.48035627009,0.06535800000000003,0.03202542000000001,TSMC_public_3nm
UCIe 36G,3,5.0,11800,0.45,1e-15,ASAP7,7,3,0.992248062015504,0.0489506499084119,0.02398581845512183,26222.222222222223,23302.115418427125,24520.40154488743,0.06535800000000003,0.03202542000000001,TSMC_public_3nm
Mlink,7,1.0,5310,0.46,1e-25,ASAP7,7,7,0.9961089494163424,0.0267326305175781,0.0267326305175781,11543.478260869564,10827.060518682345,10827.060518682345,0.06535800000000003,0.06535800000000003,Polynomial_7nm
Nvidia GRS,16,54.0,354,0.54,1e-15,ASAP7,7,16,0.992248062015504,0.0489506499084119,0.10656804691025026,655.5555555555555,592.1677922153839,539.7402277076774,0.06535800000000003,0.14228767999999997,Polynomial_16nm
112G XSR,7,50.0,700,1.5,1e-07,ASAP7,7,7,0.973384030418251,0.1648278488315091,0.1648278488315091,466.6666666666667,399.43220567731663,399.43220567731663,0.06535800000000003,0.06535800000000003,Polynomial_7nm
OCP BoW,12,25.0,500,0.5,1e-20,ASAP7,7,14,0.9961089494163424,0.0267326305175781,0.04660867138531942,1000.0,942.0614599698847,907.9277448594488,0.06535800000000003,0.11395248,Polynomial_14nm
Broadcom CPC,3,1254.0,539,7.2,1e-09,ASAP7,7,3,0.9846153846153848,0.0926656810520133,0.04540618371548651,74.86111111111111,71.6672273337033,72.12754268085864,0.06535800000000003,0.03202542000000001,TSMC_public_3nm
Mediatek,5,400.0,644,5.3,2.5e-06,ASAP7,7,5,0.962406015037594,0.2644484453553833,0.18511391174876832,121.50943396226415,107.38831398523122,108.88504352439877,0.06535800000000003,0.045750600000000016,TSMC_public_5nm
