N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
15;13;RS_GF_16;58 / 6,272 ( < 1 % );18 / 92 ( 20 % );31;0 / 276,480 ( 0 % );395.26
15;11;RS_GF_16;64 / 6,272 ( 1 % );18 / 92 ( 20 % );39;0 / 276,480 ( 0 % );359.07
15;9;RS_GF_16;75 / 6,272 ( 1 % );18 / 92 ( 20 % );47;0 / 276,480 ( 0 % );349.16
15;7;RS_GF_16;78 / 6,272 ( 1 % );18 / 92 ( 20 % );55;0 / 276,480 ( 0 % );364.03
15;5;RS_GF_16;90 / 6,272 ( 1 % );18 / 92 ( 20 % );63;0 / 276,480 ( 0 % );356.38
15;3;RS_GF_16;99 / 6,272 ( 2 % );18 / 92 ( 20 % );71;0 / 276,480 ( 0 % );354.36
15;1;RS_GF_16;99 / 6,272 ( 2 % );18 / 92 ( 20 % );80;0 / 276,480 ( 0 % );404.86
31;29;RS_GF_32;63 / 6,272 ( 1 % );20 / 92 ( 22 % );36;0 / 276,480 ( 0 % );338.29
31;27;RS_GF_32;78 / 6,272 ( 1 % );20 / 92 ( 22 % );46;0 / 276,480 ( 0 % );324.57
31;25;RS_GF_32;90 / 6,272 ( 1 % );20 / 92 ( 22 % );56;0 / 276,480 ( 0 % );341.65
31;23;RS_GF_32;99 / 6,272 ( 2 % );20 / 92 ( 22 % );66;0 / 276,480 ( 0 % );334.56
31;21;RS_GF_32;110 / 6,272 ( 2 % );20 / 92 ( 22 % );76;0 / 276,480 ( 0 % );321.13
31;19;RS_GF_32;122 / 6,272 ( 2 % );20 / 92 ( 22 % );86;0 / 276,480 ( 0 % );345.3
31;17;RS_GF_32;135 / 6,272 ( 2 % );20 / 92 ( 22 % );96;0 / 276,480 ( 0 % );312.01
31;15;RS_GF_32;143 / 6,272 ( 2 % );20 / 92 ( 22 % );106;0 / 276,480 ( 0 % );343.76
31;13;RS_GF_32;154 / 6,272 ( 2 % );20 / 92 ( 22 % );116;0 / 276,480 ( 0 % );316.76
31;11;RS_GF_32;164 / 6,272 ( 3 % );20 / 92 ( 22 % );126;0 / 276,480 ( 0 % );336.25
31;9;RS_GF_32;171 / 6,272 ( 3 % );20 / 92 ( 22 % );136;0 / 276,480 ( 0 % );328.52
31;7;RS_GF_32;184 / 6,272 ( 3 % );20 / 92 ( 22 % );146;0 / 276,480 ( 0 % );353.73
31;5;RS_GF_32;194 / 6,272 ( 3 % );20 / 92 ( 22 % );156;0 / 276,480 ( 0 % );317.46
31;3;RS_GF_32;204 / 6,272 ( 3 % );20 / 92 ( 22 % );166;0 / 276,480 ( 0 % );326.58
31;1;RS_GF_32;207 / 6,272 ( 3 % );20 / 92 ( 22 % );179;0 / 276,480 ( 0 % );363.5
63;61;RS_GF_64;71 / 6,272 ( 1 % );22 / 92 ( 24 % );41;0 / 276,480 ( 0 % );312.6
63;59;RS_GF_64;99 / 6,272 ( 2 % );22 / 92 ( 24 % );53;0 / 276,480 ( 0 % );326.48
63;57;RS_GF_64;109 / 6,272 ( 2 % );22 / 92 ( 24 % );65;0 / 276,480 ( 0 % );329.71
63;55;RS_GF_64;120 / 6,272 ( 2 % );22 / 92 ( 24 % );77;0 / 276,480 ( 0 % );325.1
63;53;RS_GF_64;133 / 6,272 ( 2 % );22 / 92 ( 24 % );89;0 / 276,480 ( 0 % );312.4
63;51;RS_GF_64;141 / 6,272 ( 2 % );22 / 92 ( 24 % );101;0 / 276,480 ( 0 % );306.0
63;49;RS_GF_64;158 / 6,272 ( 3 % );22 / 92 ( 24 % );113;0 / 276,480 ( 0 % );333.89
63;47;RS_GF_64;171 / 6,272 ( 3 % );22 / 92 ( 24 % );125;0 / 276,480 ( 0 % );314.66
63;45;RS_GF_64;187 / 6,272 ( 3 % );22 / 92 ( 24 % );137;0 / 276,480 ( 0 % );320.2
63;43;RS_GF_64;202 / 6,272 ( 3 % );22 / 92 ( 24 % );149;0 / 276,480 ( 0 % );294.72
