N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
15;13;RS_GF_16;78 / 6,272 ( 1 % );19 / 92 ( 21 % );25;0 / 276,480 ( 0 % );360.88
15;11;RS_GF_16;89 / 6,272 ( 1 % );19 / 92 ( 21 % );33;0 / 276,480 ( 0 % );366.57
15;9;RS_GF_16;88 / 6,272 ( 1 % );19 / 92 ( 21 % );41;0 / 276,480 ( 0 % );344.95
15;7;RS_GF_16;100 / 6,272 ( 2 % );19 / 92 ( 21 % );49;0 / 276,480 ( 0 % );349.53
15;5;RS_GF_16;109 / 6,272 ( 2 % );19 / 92 ( 21 % );57;0 / 276,480 ( 0 % );328.73
15;3;RS_GF_16;117 / 6,272 ( 2 % );19 / 92 ( 21 % );65;0 / 276,480 ( 0 % );346.62
15;1;RS_GF_16;115 / 6,272 ( 2 % );19 / 92 ( 21 % );73;0 / 276,480 ( 0 % );374.53
31;29;RS_GF_32;74 / 6,272 ( 1 % );21 / 92 ( 23 % );29;0 / 276,480 ( 0 % );330.47
31;27;RS_GF_32;91 / 6,272 ( 1 % );21 / 92 ( 23 % );39;0 / 276,480 ( 0 % );324.15
31;25;RS_GF_32;111 / 6,272 ( 2 % );21 / 92 ( 23 % );49;0 / 276,480 ( 0 % );306.28
31;23;RS_GF_32;109 / 6,272 ( 2 % );21 / 92 ( 23 % );59;0 / 276,480 ( 0 % );338.98
31;21;RS_GF_32;127 / 6,272 ( 2 % );21 / 92 ( 23 % );69;0 / 276,480 ( 0 % );351.74
31;19;RS_GF_32;132 / 6,272 ( 2 % );21 / 92 ( 23 % );79;0 / 276,480 ( 0 % );316.46
31;17;RS_GF_32;147 / 6,272 ( 2 % );21 / 92 ( 23 % );89;0 / 276,480 ( 0 % );325.84
31;15;RS_GF_32;153 / 6,272 ( 2 % );21 / 92 ( 23 % );99;0 / 276,480 ( 0 % );322.68
31;13;RS_GF_32;164 / 6,272 ( 3 % );21 / 92 ( 23 % );109;0 / 276,480 ( 0 % );323.73
31;11;RS_GF_32;173 / 6,272 ( 3 % );21 / 92 ( 23 % );119;0 / 276,480 ( 0 % );312.5
31;9;RS_GF_32;185 / 6,272 ( 3 % );21 / 92 ( 23 % );129;0 / 276,480 ( 0 % );333.22
31;7;RS_GF_32;192 / 6,272 ( 3 % );21 / 92 ( 23 % );139;0 / 276,480 ( 0 % );343.41
31;5;RS_GF_32;209 / 6,272 ( 3 % );21 / 92 ( 23 % );149;0 / 276,480 ( 0 % );310.66
31;3;RS_GF_32;221 / 6,272 ( 4 % );21 / 92 ( 23 % );159;0 / 276,480 ( 0 % );303.21
31;1;RS_GF_32;226 / 6,272 ( 4 % );21 / 92 ( 23 % );169;0 / 276,480 ( 0 % );335.23
63;61;RS_GF_64;81 / 6,272 ( 1 % );23 / 92 ( 25 % );33;0 / 276,480 ( 0 % );329.92
63;59;RS_GF_64;108 / 6,272 ( 2 % );23 / 92 ( 25 % );45;0 / 276,480 ( 0 % );331.02
63;57;RS_GF_64;129 / 6,272 ( 2 % );23 / 92 ( 25 % );57;0 / 276,480 ( 0 % );304.14
