N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
15;13;RS_GF_16;191 / 6,272 ( 3 % );18 / 92 ( 20 % );102;184 / 276,480 ( < 1 % );271.96
15;12;RS_GF_16;192 / 6,272 ( 3 % );18 / 92 ( 20 % );103;184 / 276,480 ( < 1 % );279.02
15;11;RS_GF_16;192 / 6,272 ( 3 % );18 / 92 ( 20 % );103;184 / 276,480 ( < 1 % );255.3
15;10;RS_GF_16;195 / 6,272 ( 3 % );18 / 92 ( 20 % );104;184 / 276,480 ( < 1 % );277.62
15;9;RS_GF_16;194 / 6,272 ( 3 % );18 / 92 ( 20 % );104;184 / 276,480 ( < 1 % );260.42
15;8;RS_GF_16;195 / 6,272 ( 3 % );18 / 92 ( 20 % );104;184 / 276,480 ( < 1 % );253.68
15;7;RS_GF_16;197 / 6,272 ( 3 % );18 / 92 ( 20 % );104;184 / 276,480 ( < 1 % );268.67
15;6;RS_GF_16;197 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );256.34
15;5;RS_GF_16;201 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );270.64
15;4;RS_GF_16;202 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );284.9
15;3;RS_GF_16;200 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );272.03
15;2;RS_GF_16;204 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );265.11
15;1;RS_GF_16;200 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );253.23
31;29;RS_GF_32;212 / 6,272 ( 3 % );20 / 92 ( 22 % );116;470 / 276,480 ( < 1 % );260.96
31;28;RS_GF_32;217 / 6,272 ( 3 % );20 / 92 ( 22 % );117;470 / 276,480 ( < 1 % );251.83
31;27;RS_GF_32;219 / 6,272 ( 3 % );20 / 92 ( 22 % );117;470 / 276,480 ( < 1 % );258.26
31;26;RS_GF_32;223 / 6,272 ( 4 % );20 / 92 ( 22 % );118;470 / 276,480 ( < 1 % );269.98
31;25;RS_GF_32;220 / 6,272 ( 4 % );20 / 92 ( 22 % );118;470 / 276,480 ( < 1 % );243.66
31;24;RS_GF_32;216 / 6,272 ( 3 % );20 / 92 ( 22 % );118;470 / 276,480 ( < 1 % );258.93
31;23;RS_GF_32;223 / 6,272 ( 4 % );20 / 92 ( 22 % );118;470 / 276,480 ( < 1 % );258.73
31;22;RS_GF_32;221 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );242.07
31;21;RS_GF_32;222 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );248.2
31;20;RS_GF_32;221 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );240.56
31;19;RS_GF_32;222 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );254.58
31;18;RS_GF_32;225 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );269.91
31;17;RS_GF_32;229 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );255.36
31;16;RS_GF_32;221 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );244.68
31;15;RS_GF_32;218 / 6,272 ( 3 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );242.19
31;14;RS_GF_32;226 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );256.87
31;13;RS_GF_32;227 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );250.25
31;12;RS_GF_32;228 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );251.07
31;11;RS_GF_32;231 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );252.02
31;10;RS_GF_32;225 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );264.76
31;9;RS_GF_32;229 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );255.82
31;8;RS_GF_32;227 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );251.38
31;7;RS_GF_32;232 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );267.59
31;6;RS_GF_32;227 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );253.94
31;5;RS_GF_32;231 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );240.38
31;4;RS_GF_32;236 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );246.18
31;3;RS_GF_32;225 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );242.6
31;2;RS_GF_32;224 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );263.64
31;1;RS_GF_32;229 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );268.24
63;61;RS_GF_64;234 / 6,272 ( 4 % );22 / 92 ( 24 % );130;1,140 / 276,480 ( < 1 % );250.94
63;60;RS_GF_64;237 / 6,272 ( 4 % );22 / 92 ( 24 % );131;1,140 / 276,480 ( < 1 % );252.59
63;59;RS_GF_64;238 / 6,272 ( 4 % );22 / 92 ( 24 % );131;1,140 / 276,480 ( < 1 % );264.34
63;58;RS_GF_64;232 / 6,272 ( 4 % );22 / 92 ( 24 % );132;1,140 / 276,480 ( < 1 % );247.65
63;57;RS_GF_64;245 / 6,272 ( 4 % );22 / 92 ( 24 % );132;1,140 / 276,480 ( < 1 % );257.14
63;56;RS_GF_64;238 / 6,272 ( 4 % );22 / 92 ( 24 % );132;1,140 / 276,480 ( < 1 % );258.73
63;55;RS_GF_64;247 / 6,272 ( 4 % );22 / 92 ( 24 % );132;1,140 / 276,480 ( < 1 % );256.02
63;54;RS_GF_64;241 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );255.23
63;53;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );242.78
63;52;RS_GF_64;241 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );252.08
63;51;RS_GF_64;241 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );257.67
63;50;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );249.38
63;49;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );250.56
63;48;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );277.01
63;47;RS_GF_64;236 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );263.09
63;46;RS_GF_64;251 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );229.41
63;45;RS_GF_64;245 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );252.27
63;44;RS_GF_64;252 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );259.0
63;43;RS_GF_64;258 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );244.8
63;42;RS_GF_64;252 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );251.51
63;41;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );246.06
63;40;RS_GF_64;258 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );234.74
63;39;RS_GF_64;249 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );237.53
63;38;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );239.69
63;37;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );232.83
