N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
15;13;RS_GF_16;335 / 6,272 ( 5 % );19 / 92 ( 21 % );172;184 / 276,480 ( < 1 % );247.59
15;11;RS_GF_16;461 / 6,272 ( 7 % );19 / 92 ( 21 % );243;184 / 276,480 ( < 1 % );186.85
15;9;RS_GF_16;559 / 6,272 ( 9 % );19 / 92 ( 21 % );308;184 / 276,480 ( < 1 % );167.9
15;7;RS_GF_16;654 / 6,272 ( 10 % );19 / 92 ( 21 % );373;184 / 276,480 ( < 1 % );158.78
15;5;RS_GF_16;740 / 6,272 ( 12 % );19 / 92 ( 21 % );438;184 / 276,480 ( < 1 % );161.6
15;3;RS_GF_16;835 / 6,272 ( 13 % );19 / 92 ( 21 % );502;184 / 276,480 ( < 1 % );150.81
15;1;RS_GF_16;940 / 6,272 ( 15 % );19 / 92 ( 21 % );566;184 / 276,480 ( < 1 % );144.45
31;29;RS_GF_32;438 / 6,272 ( 7 % );21 / 92 ( 23 % );203;470 / 276,480 ( < 1 % );223.76
31;27;RS_GF_32;580 / 6,272 ( 9 % );21 / 92 ( 23 % );291;470 / 276,480 ( < 1 % );156.76
31;25;RS_GF_32;691 / 6,272 ( 11 % );21 / 92 ( 23 % );372;470 / 276,480 ( < 1 % );153.26
31;23;RS_GF_32;822 / 6,272 ( 13 % );21 / 92 ( 23 % );453;470 / 276,480 ( < 1 % );147.23
31;21;RS_GF_32;959 / 6,272 ( 15 % );21 / 92 ( 23 % );534;470 / 276,480 ( < 1 % );145.54
31;19;RS_GF_32;1,096 / 6,272 ( 17 % );21 / 92 ( 23 % );614;470 / 276,480 ( < 1 % );145.58
31;17;RS_GF_32;1,210 / 6,272 ( 19 % );21 / 92 ( 23 % );694;470 / 276,480 ( < 1 % );133.87
31;15;RS_GF_32;1,360 / 6,272 ( 22 % );21 / 92 ( 23 % );775;470 / 276,480 ( < 1 % );141.94
31;13;RS_GF_32;1,493 / 6,272 ( 24 % );21 / 92 ( 23 % );856;470 / 276,480 ( < 1 % );136.04
31;11;RS_GF_32;1,602 / 6,272 ( 26 % );21 / 92 ( 23 % );936;470 / 276,480 ( < 1 % );133.24
31;9;RS_GF_32;1,720 / 6,272 ( 27 % );21 / 92 ( 23 % );1016;470 / 276,480 ( < 1 % );141.1
31;7;RS_GF_32;1,858 / 6,272 ( 30 % );21 / 92 ( 23 % );1096;470 / 276,480 ( < 1 % );119.89
31;5;RS_GF_32;1,986 / 6,272 ( 32 % );21 / 92 ( 23 % );1176;470 / 276,480 ( < 1 % );128.39
31;3;RS_GF_32;2,144 / 6,272 ( 34 % );21 / 92 ( 23 % );1256;470 / 276,480 ( < 1 % );129.8
31;1;RS_GF_32;2,233 / 6,272 ( 36 % );21 / 92 ( 23 % );1336;470 / 276,480 ( < 1 % );127.31
63;61;RS_GF_64;528 / 6,272 ( 8 % );23 / 92 ( 25 % );234;1,140 / 276,480 ( < 1 % );214.68
63;59;RS_GF_64;728 / 6,272 ( 12 % );23 / 92 ( 25 % );339;1,140 / 276,480 ( < 1 % );146.28
63;57;RS_GF_64;902 / 6,272 ( 14 % );23 / 92 ( 25 % );436;1,140 / 276,480 ( < 1 % );141.1
63;55;RS_GF_64;1,049 / 6,272 ( 17 % );23 / 92 ( 25 % );533;1,140 / 276,480 ( < 1 % );134.35
63;53;RS_GF_64;1,203 / 6,272 ( 19 % );23 / 92 ( 25 % );630;1,140 / 276,480 ( < 1 % );132.47
63;51;RS_GF_64;1,318 / 6,272 ( 21 % );23 / 92 ( 25 % );726;1,140 / 276,480 ( < 1 % );132.33
63;49;RS_GF_64;1,494 / 6,272 ( 24 % );23 / 92 ( 25 % );822;1,140 / 276,480 ( < 1 % );126.37
63;47;RS_GF_64;1,658 / 6,272 ( 26 % );23 / 92 ( 25 % );919;1,140 / 276,480 ( < 1 % );124.53
63;45;RS_GF_64;1,858 / 6,272 ( 30 % );23 / 92 ( 25 % );1016;1,140 / 276,480 ( < 1 % );125.31
63;43;RS_GF_64;1,990 / 6,272 ( 32 % );23 / 92 ( 25 % );1112;1,140 / 276,480 ( < 1 % );119.46
63;41;RS_GF_64;2,155 / 6,272 ( 34 % );23 / 92 ( 25 % );1208;1,140 / 276,480 ( < 1 % );120.63
63;39;RS_GF_64;2,352 / 6,272 ( 38 % );23 / 92 ( 25 % );1304;1,140 / 276,480 ( < 1 % );117.43
63;37;RS_GF_64;2,470 / 6,272 ( 39 % );23 / 92 ( 25 % );1400;1,140 / 276,480 ( < 1 % );120.25
63;35;RS_GF_64;2,683 / 6,272 ( 43 % );23 / 92 ( 25 % );1496;1,140 / 276,480 ( < 1 % );120.86
63;33;RS_GF_64;2,793 / 6,272 ( 45 % );23 / 92 ( 25 % );1592;1,140 / 276,480 ( < 1 % );118.2
63;31;RS_GF_64;2,985 / 6,272 ( 48 % );23 / 92 ( 25 % );1689;1,140 / 276,480 ( < 1 % );115.78
127;125;RS_GF_128;699 / 6,272 ( 11 % );25 / 92 ( 27 % );265;2,674 / 276,480 ( < 1 % );197.12
127;123;RS_GF_128;959 / 6,272 ( 15 % );25 / 92 ( 27 % );387;2,674 / 276,480 ( < 1 % );137.38
127;121;RS_GF_128;1,139 / 6,272 ( 18 % );25 / 92 ( 27 % );500;2,674 / 276,480 ( < 1 % );135.43
127;119;RS_GF_128;1,333 / 6,272 ( 21 % );25 / 92 ( 27 % );613;2,674 / 276,480 ( < 1 % );127.89
127;117;RS_GF_128;1,499 / 6,272 ( 24 % );25 / 92 ( 27 % );726;2,674 / 276,480 ( < 1 % );129.17
127;115;RS_GF_128;1,688 / 6,272 ( 27 % );25 / 92 ( 27 % );838;2,674 / 276,480 ( < 1 % );123.96
127;113;RS_GF_128;1,879 / 6,272 ( 30 % );25 / 92 ( 27 % );950;2,674 / 276,480 ( < 1 % );117.22
