N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
15;13;RS_GF_16;191 / 6,272 ( 3 % );18 / 92 ( 20 % );102;184 / 276,480 ( < 1 % );271.96
15;11;RS_GF_16;192 / 6,272 ( 3 % );18 / 92 ( 20 % );103;184 / 276,480 ( < 1 % );255.3
15;9;RS_GF_16;194 / 6,272 ( 3 % );18 / 92 ( 20 % );104;184 / 276,480 ( < 1 % );260.42
15;7;RS_GF_16;197 / 6,272 ( 3 % );18 / 92 ( 20 % );104;184 / 276,480 ( < 1 % );268.67
15;5;RS_GF_16;201 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );270.64
15;3;RS_GF_16;200 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );272.03
15;1;RS_GF_16;200 / 6,272 ( 3 % );18 / 92 ( 20 % );105;184 / 276,480 ( < 1 % );253.23
31;29;RS_GF_32;212 / 6,272 ( 3 % );20 / 92 ( 22 % );116;470 / 276,480 ( < 1 % );260.96
31;27;RS_GF_32;219 / 6,272 ( 3 % );20 / 92 ( 22 % );117;470 / 276,480 ( < 1 % );258.26
31;25;RS_GF_32;220 / 6,272 ( 4 % );20 / 92 ( 22 % );118;470 / 276,480 ( < 1 % );243.66
31;23;RS_GF_32;223 / 6,272 ( 4 % );20 / 92 ( 22 % );118;470 / 276,480 ( < 1 % );258.73
31;21;RS_GF_32;222 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );248.2
31;19;RS_GF_32;222 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );254.58
31;17;RS_GF_32;229 / 6,272 ( 4 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );255.36
31;15;RS_GF_32;218 / 6,272 ( 3 % );20 / 92 ( 22 % );119;470 / 276,480 ( < 1 % );242.19
31;13;RS_GF_32;227 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );250.25
31;11;RS_GF_32;231 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );252.02
31;9;RS_GF_32;229 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );255.82
31;7;RS_GF_32;232 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );267.59
31;5;RS_GF_32;231 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );240.38
31;3;RS_GF_32;225 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );242.6
31;1;RS_GF_32;229 / 6,272 ( 4 % );20 / 92 ( 22 % );120;470 / 276,480 ( < 1 % );268.24
63;61;RS_GF_64;234 / 6,272 ( 4 % );22 / 92 ( 24 % );130;1,140 / 276,480 ( < 1 % );250.94
63;59;RS_GF_64;238 / 6,272 ( 4 % );22 / 92 ( 24 % );131;1,140 / 276,480 ( < 1 % );264.34
63;57;RS_GF_64;245 / 6,272 ( 4 % );22 / 92 ( 24 % );132;1,140 / 276,480 ( < 1 % );257.14
63;55;RS_GF_64;247 / 6,272 ( 4 % );22 / 92 ( 24 % );132;1,140 / 276,480 ( < 1 % );256.02
63;53;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );242.78
63;51;RS_GF_64;241 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );257.67
63;49;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );250.56
63;47;RS_GF_64;236 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );263.09
63;45;RS_GF_64;245 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );252.27
63;43;RS_GF_64;258 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );244.8
63;41;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );246.06
63;39;RS_GF_64;249 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );237.53
63;37;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );232.83
63;35;RS_GF_64;249 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );247.34
63;33;RS_GF_64;244 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );239.29
63;31;RS_GF_64;241 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );249.75
127;125;RS_GF_128;255 / 6,272 ( 4 % );24 / 92 ( 26 % );144;2,674 / 276,480 ( < 1 % );250.06
127;123;RS_GF_128;253 / 6,272 ( 4 % );24 / 92 ( 26 % );145;2,674 / 276,480 ( < 1 % );249.63
127;121;RS_GF_128;266 / 6,272 ( 4 % );24 / 92 ( 26 % );146;2,674 / 276,480 ( < 1 % );250.0
127;119;RS_GF_128;263 / 6,272 ( 4 % );24 / 92 ( 26 % );146;2,674 / 276,480 ( < 1 % );247.89
127;117;RS_GF_128;263 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );261.78
127;115;RS_GF_128;262 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );253.87
127;113;RS_GF_128;262 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );253.36
127;111;RS_GF_128;254 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );263.37
127;109;RS_GF_128;273 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );232.88
127;107;RS_GF_128;268 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );259.0
127;105;RS_GF_128;271 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );251.95
127;103;RS_GF_128;258 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );250.94
127;101;RS_GF_128;260 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );250.75
127;99;RS_GF_128;273 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );257.47
