target_post_BER,input_preFEC_BER,n,k,m,t,rate,post_ber_est,note
1e-12,0.0001,530,512,8,9,0.9660377358490566,3.073864199814546e-13,
1e-12,3.1622776601683795e-05,524,512,8,6,0.9770992366412213,8.181087168796649e-13,
1e-12,1e-05,522,512,8,5,0.9808429118773946,3.973139793051803e-14,
1e-12,3.162277660168379e-06,520,512,8,4,0.9846153846153847,1.5321328296292264e-14,
1e-12,1e-06,518,512,8,3,0.9884169884169884,4.67499197331732e-14,
1e-12,3.162277660168379e-07,518,512,8,3,0.9884169884169884,4.684904284573891e-16,
1e-12,1e-07,516,512,8,2,0.9922480620155039,3.3873575450523756e-14,
1e-12,3.162277660168379e-08,516,512,8,2,0.9922480620155039,1.071377692171143e-15,
1e-12,1e-08,516,512,8,2,0.9922480620155039,3.388194996288366e-17,
1e-12,3.1622776601683795e-09,514,512,8,1,0.9961089494163424,1.6415893271032234e-13,
1e-12,1e-09,514,512,8,1,0.9961089494163424,1.6415965451528522e-14,
1e-12,3.1622776601683795e-10,514,512,8,1,0.9961089494163424,1.6415983623556647e-15,
1e-12,1e-10,514,512,8,1,0.9961089494163424,1.64159993545351e-16,
1e-12,3.1622776601683794e-11,514,512,8,1,0.9961089494163424,1.641603929905137e-17,
1e-12,1e-11,514,512,8,1,0.9961089494163424,1.6416002380332476e-18,
1e-12,3.1622776601683794e-12,514,512,8,1,0.9961089494163424,1.6415694454241932e-19,
1e-12,1e-12,514,512,8,1,0.9961089494163424,1.6415273674100945e-20,
1e-12,3.162277660168379e-13,514,512,8,1,0.9961089494163424,1.6412236733672557e-21,
1e-12,1e-13,514,512,8,1,0.9961089494163424,1.6426210536235765e-22,
1e-12,3.1622776601683796e-14,514,512,8,1,0.9961089494163424,1.6435295731252177e-23,
1e-12,1e-14,514,512,8,1,0.9961089494163424,1.6389768596989178e-24,
1e-12,3.1622776601683794e-15,514,512,8,1,0.9961089494163424,1.5863677259531745e-25,
1e-15,0.0001,534,512,8,11,0.9588014981273408,5.199156545820915e-16,
1e-15,3.1622776601683795e-05,528,512,8,8,0.9696969696969697,2.6392339336957635e-16,
1e-15,1e-05,524,512,8,6,0.9770992366412213,2.794349538112379e-16,
1e-15,3.162277660168379e-06,522,512,8,5,0.9808429118773946,4.068224825087784e-17,
1e-15,1e-06,520,512,8,4,0.9846153846153847,4.879857316750418e-17,
1e-15,3.162277660168379e-07,518,512,8,3,0.9884169884169884,4.684904284573891e-16,
1e-15,1e-07,518,512,8,3,0.9884169884169884,4.688043488215065e-18,
1e-15,3.162277660168379e-08,518,512,8,3,0.9884169884169884,4.689036682664453e-20,
1e-15,1e-08,516,512,8,2,0.9922480620155039,3.388194996288366e-17,
1e-15,3.1622776601683795e-09,516,512,8,2,0.9922480620155039,1.0714614340429566e-18,
1e-15,1e-09,516,512,8,2,0.9922480620155039,3.3882784421790335e-20,
1e-15,3.1622776601683795e-10,516,512,8,2,0.9922480620155039,1.0714692553754721e-21,
1e-15,1e-10,514,512,8,1,0.9961089494163424,1.64159993545351e-16,
1e-15,3.1622776601683794e-11,514,512,8,1,0.9961089494163424,1.641603929905137e-17,
1e-15,1e-11,514,512,8,1,0.9961089494163424,1.6416002380332476e-18,
1e-15,3.1622776601683794e-12,514,512,8,1,0.9961089494163424,1.6415694454241932e-19,
1e-15,1e-12,514,512,8,1,0.9961089494163424,1.6415273674100945e-20,
1e-15,3.162277660168379e-13,514,512,8,1,0.9961089494163424,1.6412236733672557e-21,
1e-15,1e-13,514,512,8,1,0.9961089494163424,1.6426210536235765e-22,
1e-15,3.1622776601683796e-14,514,512,8,1,0.9961089494163424,1.6435295731252177e-23,
1e-15,1e-14,514,512,8,1,0.9961089494163424,1.6389768596989178e-24,
1e-15,3.1622776601683794e-15,514,512,8,1,0.9961089494163424,1.5863677259531745e-25,
1e-30,0.0001,554,512,8,21,0.924187725631769,1.2856605062195878e-31,
1e-30,3.1622776601683795e-05,544,512,8,16,0.9411764705882353,6.846580205582921e-32,
1e-30,1e-05,538,512,8,13,0.9516728624535316,9.055693885706165e-33,
1e-30,3.162277660168379e-06,532,512,8,10,0.9624060150375939,6.0514514486549555e-31,
1e-30,1e-06,530,512,8,9,0.9660377358490566,4.465315325198639e-33,
1e-30,3.162277660168379e-07,528,512,8,8,0.9696969696969697,2.9651617431238382e-34,
1e-30,1e-07,526,512,8,7,0.973384030418251,1.757000472531563e-34,
1e-30,3.162277660168379e-08,524,512,8,6,0.9770992366412213,9.15648464069263e-34,
1e-30,1e-08,522,512,8,5,0.9808429118773946,4.1128454562931226e-32,
